amount,hour,velocity_1h,new_device,merchant_risk,is_fraud
20365.58,16,3,0,0.192,0
17682.56,22,0,0,0.156,0
53793.72,11,2,0,0.296,0
21677.67,4,3,0,0.339,0
41565.77,10,8,1,0.673,1
2588.02,22,3,0,0.025,0
136000.02,4,3,1,0.528,1
4092.45,4,0,0,0.38,0
7509.29,9,3,1,0.392,0
1733.01,6,2,0,0.195,0
6897.91,2,0,0,0.349,0
8266.21,0,3,0,0.179,0
24718.72,22,1,0,0.443,0
19016.78,5,1,0,0.365,0
227769.83,13,2,0,0.935,1
79949.54,0,2,1,0.672,1
12651.29,6,1,0,0.113,0
7938.34,12,1,1,0.502,0
1359.64,10,2,0,0.439,0
33981.4,21,2,0,0.436,0
4837.6,13,1,0,0.133,0
11881.27,8,5,0,0.133,0
44860.68,17,1,0,0.151,0
24927.35,13,2,0,0.256,0
13513.71,10,2,0,0.144,0
34207.82,11,1,1,0.286,0
4201.36,20,2,1,0.431,0
4784.76,7,1,0,0.34,0
7168.41,12,0,0,0.283,0
17768.78,19,3,0,0.348,0
10088.7,0,3,0,0.436,1
4619.39,4,0,0,0.368,0
14798.16,7,1,0,0.108,0
18445.37,12,6,0,0.696,1
7311.6,19,4,0,0.1,0
42188.45,21,2,0,0.823,1
26159.7,21,3,0,0.036,0
8566.99,22,2,1,0.288,0
31760.47,14,2,0,0.206,0
21495.67,1,2,1,0.166,0
231774.25,6,1,1,0.617,0
13144.89,9,3,0,0.503,1
132445.56,17,2,0,0.228,0
32730.55,2,0,0,0.211,0
9366.27,19,1,0,0.484,0
20596.33,5,2,0,0.334,0
3738.29,21,0,0,0.133,0
23211.05,5,2,0,0.318,0
26987.89,23,3,1,0.4,1
137081.42,8,7,0,0.688,1
5741.89,22,2,0,0.16,0
706.6,19,1,0,0.099,0
13727.59,10,3,0,0.482,0
57868.59,20,3,1,0.542,1
6099.55,16,4,0,0.182,0
2917.95,20,1,0,0.241,0
6731.84,11,1,0,0.272,0
8388.69,15,2,0,0.646,0
27781.75,9,6,1,0.697,1
14370.83,8,2,0,0.414,0
38549.79,11,0,0,0.251,0
29609.74,15,1,1,0.233,0
141577.96,17,3,1,0.799,1
23640.08,3,1,0,0.121,0
32088.74,3,6,1,0.638,1
3959.94,20,0,0,0.418,0
4851.42,0,0,0,0.308,0
3137.74,1,2,1,0.304,0
21341.69,20,0,1,0.119,0
9052.12,10,2,0,0.152,0
62532.2,14,4,1,0.422,1
5739.57,15,2,1,0.327,0
25928.23,21,1,1,0.173,0
20272.3,0,3,0,0.308,1
7199.25,13,2,1,0.19,0
10285.44,19,1,0,0.231,0
11912.83,22,1,0,0.108,0
3732.05,11,4,1,0.159,1
15320.65,3,4,0,0.374,0
7805.39,19,2,0,0.555,0
32255.71,21,1,1,0.292,0
23590.6,18,2,0,0.106,0
31405.13,22,2,1,0.483,1
240028.32,11,1,0,0.157,0
25929.87,22,0,0,0.645,0
111200.63,8,6,0,0.674,1
7722.01,17,3,0,0.392,0
4886.75,1,2,1,0.176,0
4322.87,1,2,0,0.469,0
28355.52,23,3,0,0.806,1
2323.3,0,1,0,0.122,0
1705.75,10,3,0,0.053,0
10505.54,21,2,0,0.11,0
11025.81,14,3,0,0.27,0
12175.18,15,1,0,0.15,0
7529.3,16,0,0,0.417,0
22498.98,2,1,1,0.099,0
2748.57,10,1,0,0.674,0
2953.97,11,4,0,0.277,0
14264.49,4,0,0,0.12,0
32186.93,18,4,0,0.305,0
18227.89,11,0,0,0.276,0
5285.02,2,0,1,0.037,0
9777.47,21,2,0,0.105,0
15552.91,14,3,1,0.363,0
1990.02,6,1,1,0.284,0
43533.19,19,2,0,0.315,0
5952.89,5,3,0,0.569,0
13402.64,5,3,0,0.157,0
44182.83,18,3,1,0.046,0
6127.61,2,0,0,0.214,0
38600.23,14,12,0,0.557,1
9993.41,13,3,0,0.249,0
67046.46,8,3,1,0.601,1
1930.65,22,1,0,0.522,0
26416.82,8,10,0,0.186,1
3781.79,4,0,0,0.13,0
9489.68,23,3,1,0.115,0
11455.25,14,2,0,0.272,0
188206.38,22,3,0,0.319,0
179817.41,18,1,0,0.536,0
6656.01,9,4,0,0.178,0
27575.95,9,2,0,0.234,0
10186.65,19,2,0,0.621,1
6681.72,19,5,0,0.123,0
14781.23,10,3,1,0.357,0
7159.18,2,4,0,0.284,0
13839.61,19,2,0,0.139,0
9231.84,18,1,0,0.285,0
83449.41,2,4,0,0.781,1
10465.27,23,3,1,0.711,1
17838.95,1,3,1,0.745,1
25507.49,10,2,1,0.567,0
443159.96,4,4,1,0.478,1
16239.03,14,1,0,0.281,0
5138.21,9,5,0,0.263,0
22093.21,7,3,0,0.119,0
29384.72,1,3,0,0.52,0
3849.06,17,0,0,0.064,0
64954.44,13,2,1,0.719,1
36193.25,2,4,1,0.496,0
14376.08,7,3,0,0.127,0
12977.28,11,3,0,0.513,0
20634.31,12,3,0,0.337,0
9193.37,3,0,0,0.086,0
51787.98,7,1,0,0.568,1
61110.89,0,3,0,0.929,1
45067.39,12,4,0,0.423,0
23471.85,7,3,1,0.796,1
8780.94,22,1,1,0.522,0
19125.37,2,0,0,0.416,0
5252.31,1,0,0,0.326,0
20342.72,11,4,0,0.606,1
14546.76,16,3,0,0.283,0
5512.41,3,2,1,0.074,0
3506.61,4,2,0,0.444,0
66367.41,20,2,1,0.787,1
330878.82,11,1,1,0.719,1
4870.25,19,3,1,0.439,0
9575.12,11,1,0,0.285,0
288089.4,16,1,1,0.451,0
174029.99,20,1,1,0.614,1
3833.02,1,5,1,0.188,0
1924.8,15,1,0,0.545,0
23875.24,3,2,0,0.615,1
7492.93,17,1,0,0.433,0
43592.71,8,4,1,0.359,1
5311.55,13,2,0,0.283,0
13987.89,22,0,0,0.471,0
2451.22,13,1,0,0.568,0
30380.12,3,1,1,0.214,0
6735.85,6,0,0,0.02,0
13120.36,0,5,1,0.915,1
9535.47,13,0,0,0.095,0
9582.12,20,2,0,0.192,0
54015.58,18,1,0,0.123,0
3082.21,0,1,0,0.302,0
177283.33,3,4,1,0.504,1
4008.26,3,2,0,0.167,0
272979.95,0,2,1,0.673,1
71813.18,0,5,0,0.856,1
10369.51,5,2,0,0.293,0
108895.47,0,10,1,0.536,1
20479.17,4,8,0,0.885,1
9234.09,0,2,0,0.42,0
3803.8,11,1,0,0.098,0
14619.82,4,1,1,0.29,0
62636.29,6,3,1,0.849,1
15651.98,9,0,0,0.489,0
25319.59,0,3,1,0.821,1
14933.66,10,3,0,0.222,0
8141.94,21,2,0,0.14,0
15733.67,18,1,0,0.175,0
80955.66,9,2,1,0.305,1
57463.04,15,3,1,0.151,0
26149.17,5,3,1,0.653,1
5922.17,5,4,0,0.395,0
12651.02,15,1,1,0.155,0
26520.83,0,3,0,0.205,0
16027.44,5,1,0,0.343,0
2439.58,4,2,0,0.316,0
129470.9,8,6,1,0.449,1
6102.64,14,2,1,0.01,0
7930.44,17,1,0,0.115,0
24269.4,23,2,1,0.646,1
19042.0,2,5,1,0.792,1
208089.81,11,5,0,0.72,1
2963.18,23,3,1,0.427,0
1947.62,12,0,0,0.339,0
6992.1,2,1,0,0.306,0
6195.37,9,3,0,0.16,0
6829.45,5,5,0,0.067,0
3952.14,14,1,1,0.206,0
20549.92,14,1,0,0.586,0
6444.37,14,2,1,0.332,0
53429.9,20,4,1,0.842,1
38157.22,5,6,0,0.529,1
7004.59,8,4,0,0.137,0
3683.77,20,2,0,0.341,0
2656.68,14,1,0,0.537,0
5606.77,5,2,1,0.347,0
43698.09,9,1,0,0.318,0
7240.83,15,3,0,0.613,1
9153.55,6,1,0,0.188,0
19664.74,16,3,0,0.234,0
5556.38,0,3,0,0.158,0
11712.54,2,4,1,0.831,1
26460.6,13,4,0,0.467,0
46749.12,3,5,1,0.936,1
3830.32,7,2,1,0.426,0
11764.81,14,1,0,0.203,0
37047.76,0,4,0,0.251,0
53623.32,0,2,1,0.369,1
18201.29,8,0,1,0.192,0
50660.6,2,6,1,0.686,1
12980.98,7,2,0,0.347,0
11069.29,14,2,0,0.289,0
129455.15,21,10,0,0.939,1
57475.2,9,6,0,0.528,1
5619.78,21,1,0,0.642,0
12212.08,16,1,0,0.265,0
40228.54,1,6,1,0.325,1
5356.17,8,0,0,0.307,0
30054.91,11,5,0,0.588,0
9085.08,21,4,1,0.657,0
60447.75,14,1,0,0.091,0
18612.45,19,3,0,0.104,0
1726.97,14,0,0,0.509,0
15984.01,9,1,0,0.633,0
47185.45,18,0,0,0.417,0
66431.76,18,3,0,0.133,0
41351.88,6,2,0,0.08,0
19125.88,23,1,0,0.644,0
135710.87,18,2,0,0.334,1
63994.51,10,2,1,0.401,1
74878.88,12,1,0,0.353,0
5860.31,7,1,0,0.153,0
15984.25,17,0,0,0.247,0
5772.5,7,3,0,0.585,0
2911.94,9,2,1,0.087,0
42655.08,18,3,1,0.427,0
5516.04,7,2,1,0.175,0
15111.29,3,0,0,0.094,0
10572.1,11,1,0,0.61,0
20418.43,16,2,0,0.205,0
27572.53,6,3,0,0.101,0
11120.05,21,1,0,0.661,0
8889.02,21,2,0,0.431,0
11780.09,14,1,0,0.253,0
2342.39,19,1,0,0.6,0
25562.1,1,0,0,0.357,0
10472.93,14,4,0,0.232,0
60737.38,21,1,0,0.317,0
13992.52,2,3,1,0.421,0
43831.17,9,4,0,0.797,1
49124.6,2,0,1,0.222,0
12969.28,23,2,0,0.185,0
15970.0,7,3,0,0.414,0
7399.95,18,2,0,0.505,0
300.0,9,1,0,0.391,0
34573.4,8,3,0,0.631,0
16210.52,0,4,1,0.202,0
14562.35,19,3,0,0.181,0
2109.48,14,2,0,0.646,0
168376.98,1,5,1,0.75,1
19907.15,6,1,0,0.421,0
142960.26,9,1,0,0.165,0
262988.21,13,3,0,0.017,0
73646.27,1,4,1,0.915,1
16125.17,0,1,0,0.202,0
429389.47,9,2,1,0.582,1
10359.42,17,0,0,0.183,0
3348.05,23,1,0,0.43,0
7026.71,2,1,0,0.3,0
22049.3,23,1,0,0.166,0
19387.72,5,1,0,0.198,0
40788.58,7,4,0,0.776,1
5061.01,10,2,0,0.162,0
19335.69,9,2,0,0.109,0
36285.39,9,2,0,0.551,0
82273.91,9,1,0,0.12,0
33929.88,18,1,0,0.345,0
103346.25,6,1,0,0.543,1
11514.91,18,3,1,0.312,0
13404.75,18,0,1,0.338,0
39409.13,3,4,0,0.618,1
2243.48,21,1,1,0.547,0
1766.37,1,1,1,0.617,0
8894.85,9,1,0,0.631,0
37099.4,3,0,0,0.244,0
158598.78,0,2,1,0.562,1
9308.17,7,1,0,0.44,0
209419.95,13,8,1,0.572,0
4107.71,17,2,0,0.262,0
11956.28,18,3,0,0.394,0
96923.9,15,4,1,0.585,1
79966.22,10,2,0,0.203,0
12777.8,11,2,1,0.505,0
100299.29,1,3,1,0.849,1
2772.45,17,3,0,0.12,0
4708.8,8,2,0,0.501,0
5318.45,14,1,1,0.097,0
33086.61,6,2,1,0.34,1
9492.15,18,0,0,0.507,0
58377.43,9,2,0,0.255,0
8111.55,14,1,0,0.728,0
14568.16,3,3,0,0.373,0
7995.02,20,2,0,0.463,0
1569.77,20,0,0,0.078,0
25718.34,10,5,0,0.092,0
10270.13,17,2,0,0.183,0
13476.0,15,2,0,0.187,0
8120.05,4,0,0,0.168,0
9353.08,11,0,0,0.08,0
198007.35,23,3,0,0.785,1
49568.5,14,4,1,0.304,1
1438.75,19,3,0,0.777,0
3447.48,0,4,0,0.554,0
12233.82,3,1,0,0.25,0
89099.64,18,3,1,0.156,0
4359.1,20,3,0,0.318,0
179046.74,0,5,0,0.765,1
35894.88,18,0,1,0.35,0
41357.87,23,2,1,0.792,1
4006.87,18,0,0,0.41,0
1855.49,3,1,0,0.228,0
2428.12,22,0,1,0.221,0
35171.92,2,3,0,0.062,0
5719.53,2,5,0,0.29,1
755.52,7,2,0,0.564,1
66606.66,1,3,1,0.663,1
10848.96,12,2,0,0.218,1
7514.61,12,1,0,0.535,0
181960.29,18,1,0,0.372,1
40381.06,3,9,1,0.907,1
101701.27,13,1,0,0.286,0
16284.75,15,3,0,0.094,0
31949.22,0,0,0,0.39,0
8056.3,21,2,0,0.127,0
126580.97,3,8,1,0.674,1
1919.23,5,4,0,0.272,0
6916.9,18,0,1,0.174,1
9492.73,0,2,0,0.154,0
6475.73,15,4,0,0.459,0
5834.61,7,2,0,0.504,0
9506.36,5,1,0,0.134,0
15351.4,20,2,0,0.22,0
8598.39,15,1,0,0.227,0
4736.09,6,1,0,0.14,0
730.45,2,2,1,0.262,0
80237.22,6,1,0,0.365,0
10407.1,2,2,1,0.587,1
6865.42,11,3,0,0.154,0
143124.8,13,7,0,0.9,1
8834.44,15,3,0,0.067,0
4008.36,10,5,0,0.219,0
4922.96,17,1,0,0.108,0
8100.51,1,2,0,0.467,0
3402.44,16,5,0,0.128,0
2553.86,8,2,0,0.307,0
6787.2,4,1,0,0.266,0
15514.93,23,2,1,0.176,0
114203.02,7,4,0,0.08,0
49659.78,9,2,0,0.531,1
763.59,12,1,1,0.22,0
19804.52,2,2,1,0.809,1
88080.4,23,6,1,0.545,1
7492.53,23,1,0,0.084,0
28039.85,2,1,0,0.062,0
23377.6,15,1,0,0.662,0
4710.35,11,2,0,0.055,0
39854.9,0,5,0,0.563,1
6242.09,18,1,0,0.405,0
28315.52,23,1,0,0.379,0
73867.07,15,5,0,0.374,1
54700.66,10,1,0,0.189,0
6452.29,11,0,0,0.405,1
13165.4,23,4,1,0.824,1
12732.1,12,4,0,0.367,0
13319.43,14,0,1,0.561,0
4817.4,13,2,0,0.037,0
62723.76,3,3,1,0.453,1
5494.6,22,3,0,0.232,0
35640.1,13,2,0,0.227,0
10022.91,18,0,0,0.46,0
149602.37,15,6,1,0.557,1
29444.62,13,1,0,0.369,0
12912.55,5,3,0,0.154,0
7697.08,10,2,0,0.252,0
7045.92,19,2,0,0.343,0
14065.59,17,2,0,0.201,0
2787.18,17,1,1,0.118,0
11775.74,11,2,0,0.36,0
6445.1,21,2,0,0.269,0
18723.41,22,2,1,0.376,0
7219.26,3,4,0,0.288,0
12260.25,5,3,0,0.507,0
50880.22,6,1,1,0.834,1
110836.6,23,4,1,0.616,1
33906.34,17,0,0,0.234,0
19270.99,3,5,0,0.233,0
12022.83,2,5,1,0.633,1
11745.96,4,2,1,0.189,0
55781.53,18,2,0,0.156,0
47283.96,17,3,0,0.226,0
163153.01,4,2,1,0.694,1
35804.01,0,5,0,0.844,1
6887.21,14,0,1,0.236,0
20054.93,13,4,0,0.301,0
9305.62,7,1,0,0.259,1
11100.02,13,3,0,0.028,0
686.17,3,3,0,0.255,0
80359.97,22,7,0,0.95,1
35367.99,4,1,0,0.229,0
5984.53,23,2,0,0.843,1
31234.18,22,2,0,0.194,0
27746.01,5,6,0,0.704,1
8863.9,6,7,0,0.159,0
13773.33,6,1,0,0.11,0
28579.79,22,2,0,0.387,0
83714.93,19,4,1,0.947,1
34121.04,5,5,1,0.608,1
50533.81,15,2,0,0.183,0
38791.0,12,2,0,0.27,0
32387.77,0,1,1,0.358,0
4200.74,12,2,0,0.299,0
25629.21,16,1,0,0.128,0
35595.19,15,2,0,0.173,0
4760.52,19,1,0,0.165,0
28568.81,10,2,1,0.348,0
1209.58,6,1,0,0.21,0
11311.9,22,1,0,0.095,0
337214.22,20,3,1,0.881,1
8208.32,6,0,0,0.1,0
4977.06,3,0,0,0.286,0
21025.71,6,2,1,0.157,0
6224.34,16,3,0,0.613,0
1385.55,14,3,0,0.124,0
4116.01,6,1,0,0.403,0
25699.92,4,1,0,0.103,0
14934.5,0,3,0,0.11,0
13359.31,1,5,0,0.842,1
41511.08,22,11,0,0.662,1
14198.19,2,4,0,0.388,1
3880.58,9,2,0,0.407,0
34621.11,2,1,0,0.494,0
8721.05,9,0,0,0.171,0
2447.09,21,2,0,0.194,0
3635.8,10,2,0,0.336,0
8999.73,0,1,0,0.276,0
11625.74,3,3,0,0.087,0
216497.06,1,2,0,0.397,1
19436.19,17,3,0,0.074,0
105832.46,4,0,0,0.17,0
1549.56,21,2,0,0.494,0
9999.18,4,2,0,0.079,0
56615.4,22,2,0,0.335,0
3668.23,6,1,0,0.224,0
21135.73,21,3,0,0.119,0
10172.19,4,2,0,0.152,0
84161.55,1,4,0,0.405,0
2027.64,2,1,0,0.065,0
5050.09,17,3,0,0.384,0
79795.33,13,5,0,0.923,1
4118.28,20,1,1,0.341,0
38695.68,1,1,0,0.194,0
16741.8,16,3,0,0.039,0
20274.8,20,2,0,0.164,0
36864.49,17,3,1,0.104,1
38069.43,3,1,0,0.038,0
22799.89,9,0,0,0.32,0
14080.13,0,0,0,0.342,0
4834.23,13,1,0,0.491,0
19324.64,5,3,0,0.182,0
32767.29,13,3,0,0.406,0
97412.34,20,2,0,0.188,0
5528.97,2,2,0,0.053,0
3752.27,14,2,0,0.233,0
11514.78,13,1,0,0.171,0
38907.61,3,2,0,0.457,0
5889.13,12,3,0,0.085,0
11829.32,15,3,0,0.091,0
13688.9,18,0,0,0.104,0
159612.29,22,9,1,0.802,1
171712.56,12,1,0,0.188,0
9137.51,19,0,0,0.166,0
7200.64,0,2,1,0.127,0
2705.44,3,3,0,0.066,0
17669.91,11,2,1,0.062,0
13877.71,14,2,0,0.338,0
33820.57,12,4,0,0.133,0
5129.1,12,2,0,0.661,0
13872.09,8,4,1,0.299,0
11245.11,15,2,0,0.135,0
41265.12,7,3,0,0.265,0
7385.42,18,0,1,0.596,0
21812.67,20,3,0,0.388,0
10360.8,4,1,0,0.51,0
64760.95,23,2,1,0.289,1
44168.72,9,1,0,0.157,0
6207.78,2,0,0,0.315,0
4972.32,10,0,0,0.296,0
13402.55,4,2,0,0.191,0
35770.43,18,3,1,0.425,1
11329.33,13,0,0,0.128,1
17059.05,0,3,0,0.566,1
32944.5,2,5,1,0.647,1
36705.5,0,4,0,0.071,0
13991.15,3,1,1,0.222,0
6976.89,9,0,1,0.138,0
17241.25,7,1,1,0.027,0
4068.5,20,4,0,0.038,0
41887.91,1,3,0,0.382,1
7743.7,8,5,0,0.173,0
97792.98,1,3,0,0.643,1
14055.1,7,5,1,0.286,0
11271.92,7,1,0,0.053,0
19978.65,4,2,0,0.339,0
49410.56,6,1,0,0.534,0
44208.42,22,2,1,0.147,0
6987.51,16,2,0,0.153,0
6790.68,8,1,0,0.232,1
37652.1,14,3,0,0.239,0
65292.08,5,3,0,0.475,1
72327.9,8,6,0,0.151,1
51519.48,3,5,1,0.641,1
28553.82,11,4,0,0.315,0
7913.89,19,5,0,0.206,0
7713.84,22,3,0,0.542,0
71935.17,14,3,0,0.183,0
23422.83,21,2,0,0.381,0
2100.25,11,2,1,0.09,0
965.54,6,0,0,0.601,0
3470.86,7,2,0,0.103,0
6497.02,14,1,0,0.049,0
6860.56,17,2,0,0.323,0
6136.07,10,3,0,0.326,0
2376.31,19,2,0,0.102,0
18288.45,11,2,0,0.19,0
17125.95,7,3,0,0.477,1
42249.47,5,1,0,0.542,0
7206.87,2,3,0,0.621,0
8882.41,6,5,0,0.202,0
56710.95,3,3,0,0.273,0
1162.04,11,2,1,0.383,0
12103.08,3,0,1,0.189,0
5012.59,3,2,0,0.818,1
16512.62,18,0,0,0.382,0
11497.32,21,2,0,0.382,0
37542.17,4,3,0,0.487,0
17188.94,5,2,0,0.248,0
112002.2,23,5,0,0.74,1
5230.81,5,1,0,0.38,0
13143.69,3,3,0,0.432,0
12821.97,19,1,0,0.242,0
27814.98,8,0,0,0.341,0
16469.36,4,0,0,0.508,0
9153.88,1,2,0,0.579,0
33691.36,6,9,0,0.792,1
7523.93,23,5,1,0.288,0
31228.0,11,5,0,0.308,0
2718.68,16,3,0,0.068,0
34412.99,8,2,0,0.577,0
12705.98,4,2,1,0.356,0
16856.22,13,1,0,0.261,0
25092.84,2,3,1,0.23,1
21446.77,13,0,1,0.473,0
2666.79,16,4,0,0.339,0
9132.8,10,0,1,0.079,0
10468.83,14,1,0,0.329,0
10902.44,0,1,0,0.138,0
42688.32,1,4,1,0.738,1
1679.05,19,1,0,0.472,0
4833.52,10,0,0,0.065,0
12890.32,12,3,1,0.326,0
55897.47,1,3,0,0.231,1
97087.93,19,5,0,0.7,1
107193.71,16,5,0,0.283,1
12471.43,10,0,0,0.194,0
1795.73,5,2,0,0.157,0
